,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Date,Session,Clan,Rating,Opponent,#,Map,Notes,Ya,Mo,Oh,Kr,GK,Co,Th,Re,Bo,Za,DM,Sa,Hi,Go,He,Ve,Yo,PR,Mk,St,Wo,Sm,Mi,Co,Sh,Hg,Hy,Ge,So,Gr,Kh,52,Da,Kl,Ma,PE,YY,X,,486,Points
,13,,2.3,KSC,B,AP,12,Crash Zone Alpha,,,1,,1,,,,,,,2,,,,,,,,,2,,1,,,,,,,1,,,,,,,,,-,,W,23
,14,,2.3,KSC,B,NGAGE,6,Sea of Fortune,,1,,,1,,,,,,1,,,,,,,,,1,,,2,,,,,,,1,,,,,1,,,,-,,W,22
,15,,2.3,KSC,B,TQL,53,Shards,,1,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,2,,,,,-,,L,-22
,16,,2.3,KSC,B,-K-,11,Crash Zone Alpha,,,,,2,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,2,,,,,-,,L,-17
,17,,2.3,KSC,B,MIA,16,Land of Fire,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,1,,,,1,,,,,2,,,,-,,L,-17
,18,,2.3,KSC,B,SORRY,133,Hotspot,,,,,2,,,,,,,1,,,,,,,,,2,,1,,,1,,,,,,,,1,,,,,-,,W,23
,19,,2.3,KSC,B,-TH-,4,Warrior's Path,,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,4,,,,-,,L,-19
,20,,2.3,KSC,B,ES,120,North,,,,,1,,,,,1,,,,1,,,,,,,3,,,,,,,,,,1,,,1,,,,,-,,L,-23
,21,,2.3,KSC,B,PWP,4,Sea of Fortune,,,,,1,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,-,,L,-14
,22,,2.3,KSC,B,KUMA,60,Hotspot,,,,,1,,1,,,,,1,,,,,,,,,1,,2,,,,,,,,1,,1,,,,,,-,,W,22
